artists,artists_id
The Human League,spotify:artist:1aX2dmV8XoHYCOQRxjPESG
Alaska Y Dinarama,spotify:artist:2mDlFcPtgXtLF1gEshEInh
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
Sébastien Léger,spotify:artist:17j0kFtqn9Fss3D916jSlp
Jan Blomqvist,spotify:artist:5wMlMjOLeJfS5DfxqGfm83
Super Flu,spotify:artist:1iZiG82D4w7FLHvOUUj4zW
The War On Drugs,spotify:artist:6g0mn3tzAds6aVeUYRsryU
Napkey,spotify:artist:4MismZLKqMb2Qb2HjK4sdE
"['Klangkarussell', 'Mando Diao']","['spotify:artist:041iTeoMIwXMlShuQPIVKo', 'spotify:artist:5I4eibDkC7gg0hmczTZuND']"
"['Stephan Bodzin', 'Marc Romboy']","['spotify:artist:2nq2BeSbzExGAv3Y4HgUf7', 'spotify:artist:623ecFS6T9xsx9Rb98eii5']"
"['Stephan Bodzin', 'Marc Romboy', 'Johannes Brecht', 'Solomun']","['spotify:artist:2nq2BeSbzExGAv3Y4HgUf7', 'spotify:artist:623ecFS6T9xsx9Rb98eii5', 'spotify:artist:1VFwWJaTMckGNeRWak0cXi', 'spotify:artist:5wJK4kQAkVGjqM9x46KQOC']"
"['Stephan Bodzin', 'Marc Romboy']","['spotify:artist:2nq2BeSbzExGAv3Y4HgUf7', 'spotify:artist:623ecFS6T9xsx9Rb98eii5']"
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
"['Marc Romboy', 'Stephan Bodzin', 'Adriatique']","['spotify:artist:623ecFS6T9xsx9Rb98eii5', 'spotify:artist:2nq2BeSbzExGAv3Y4HgUf7', 'spotify:artist:02DWGcShQivFepRvGJ7xhB']"
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
"['Clarian', 'Guy Gerber']","['spotify:artist:2polW59xyLfTDB4E5Ig7Xa', 'spotify:artist:3bqBkAzdPwEDe1JUvb7ZeC']"
"['Pan-Pot', 'Stephan Bodzin']","['spotify:artist:6OQOvP7RAdmAKVXXQqD0Se', 'spotify:artist:2nq2BeSbzExGAv3Y4HgUf7']"
Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
"['Walt Whitman', 'Bill Murray']","['spotify:artist:5yEhcRNe6OGWvVP8DaRE7G', 'spotify:artist:3wkZ8WTrs7WcfE13voUCK1']"
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
Heroes Del Silencio,spotify:artist:3qAPxVwIQRBuz5ImPUxpZT
"['Gustavo Cerati', 'Andy Summers']","['spotify:artist:1QOmebWGB6FdFtW7Bo3F0W', 'spotify:artist:3rHBApuFwaJy65f7vWQJLr']"
Joan Manuel Serrat,spotify:artist:1t7t8q4zoYHp22JLIx3FM7
Frank Sinatra,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
Matias Aguayo,spotify:artist:7daexEpVdKDbvlUHZ2rWbe
"['Olderic', 'Peter Pardeike']","['spotify:artist:1kwrCFaHjXR4Bqf5kV0uOM', 'spotify:artist:0LHjAYNdezU9MWHFYTYAjE']"
Bostro Pesopeo,spotify:artist:6pBvpRI7qsmSp0C4DbH1MD
Jürgen Paape,spotify:artist:51qSeH9HimuYMMQ7qbWGrk
"['Tom Demac', 'Will Samson']","['spotify:artist:3758ZYkL9uiug7nHTQNWcP', 'spotify:artist:6VBJxxPZ84ty9nR1nFkNNx']"
"['Youngblood Hawke', 'Vicetone']","['spotify:artist:6VXZCpbkwm0W0aPjQR1t4K', 'spotify:artist:0daugAjUgbJSqdlyYNwIbT']"
Joywave,spotify:artist:1UfzhwcOR4yfX7yHTPfC9m
Youngblood Hawke,spotify:artist:6VXZCpbkwm0W0aPjQR1t4K
Still Corners,spotify:artist:4zKYrXs8iN4AeHmO8ZxNqp
Paul Kalkbrenner,spotify:artist:0rasA5Z5h1ITtHelCpfu9R
"['Wankelmut', 'Emma Louise', 'MK']","['spotify:artist:01e2lCvLZ4fLUIRy68nptH', 'spotify:artist:1A96iePIMNFBjLrjXEl718', 'spotify:artist:1yqxFtPHKcGcv6SXZNdyT9']"
"['Howling', 'RY X', 'Frank Wiedemann']","['spotify:artist:3WTWOrIS77vY3hkCFqTyIw', 'spotify:artist:2KjAo6wVc9d2WcxdxSArpV', 'spotify:artist:1gbnoyNZEf6K9HytIv1D94']"
Stavroz,spotify:artist:7su1fG75ZwXHA6ei9Zcy7T
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Klangkarussell,spotify:artist:041iTeoMIwXMlShuQPIVKo
L'Impératrice,spotify:artist:4PwlsrN0t5mLN0C827cbEU
